"name.keyword: Descending",Count
"HADASSAH THE WOMENS ZIONIST ORGANIZATION OF AMERICA",87
"INTERNATIONAL ASSOCIATION OF MACHINISTS & AEROSPACE WORKERS",85
"PTA Kentucky Congress",85
"ALPHA DELTA KAPPA SORORITY INC",83
"National Society of the Daughters of the American Revolution",83
"AGLOW INTERNATIONAL",81
"PTA Ohio Congress",81
"REACT INTERNATIONAL",81
"TAU KAPPA EPSILON FRATERNITY INC",77
"BNAI ZION",76
"INTERNATIONAL ASSOCIATION OF FIRE FIGHTERS",76
"MODERN WOODMEN OF AMERICA",76
"BNAI BRITH INTERNATIONAL",75
"PTA Pennsylvania Congress",74
"ANCIENT ORDER OF HIBERNIANS LADIES",73
"CHINA BURMA INDIA VETERANS ASSN INC",73
"EPSILON SIGMA ALPHA INTERNATIONAL COUNCIL",72
"PTA UTAH CONGRESS",72
"UNITE HERE",72
"INTERNATIONAL READING ASSOCIATION INC",71
"CHILDRENS HOSPITAL & REGIONAL MEDICAL CENTER",70
"International Church of the Foursquare Gospel",70
"MILITARY ORDER OF THE COOTIE OF THE UNITED STATES",70
"SCHOLARSHIP AMERICA INC",69
"AMERICAN FEDERATION OF LABOR & CONGRESS OF INDUSTRIAL ORGS",68
"AMERICAN POSTAL WORKERS UNION",68
"UNITED STATES BOWLING CONGRESS INC",66
"BUCKMASTERS AMERICAN DEER FOUNDATION INC",65
"MODERN DAY VETERANS",65
"HABITAT FOR HUMANITY INTERNATIONAL INC",64
"KEY CLUB INTERNATIONAL",64
"ROAD RUNNERS CLUB OF AMERICA",64
"SONS OF ITALY IN AMERICA",64
"AMATEUR ATHLETIC UNION OF THE UNITED STATES INC",63
"PTA NEW YORK CONGRESS",63
"Twigs of Childrens Hospital",63
"WOMANS LIFE INSURANCE SOCIETY",63
"TOUGHLOVE INTERNATIONAL",62
"PTA OHIO CONGRESS",61
"GOLD WING ROAD RIDERS ASSOCIATION",60
"QUAIL UNLIMITED INC",60
"Texas Garden Clubs",60
"Toughlove International",60
"PENNSYLVANIA STATE GRANGE OF PATRONS OF HUSBANDRY",59
"PTA FLORIDA CONGRESS",59
"Full Gospel Businessmen's Fellowship International",58
"BENEVOLENT & PROTECTIVE ORDER OF ELKS OF THE USA",57
"JOBS DAUGHTERS INTERNATIONAL",57
"PTA Florida Congress",57
"INTERNATIONAL CHURCH OF THE FOUR SQUARE GOSPEL",56
"NATIONAL IDEAL BENEFIT SOCIETY INC",56
"UNITED COMMERCIAL TRAVELERS OF AMERICA",56
"USPC NEWCO INC",56
"AMERICAN FEDERATION OF TEACHERS",55
"American Bowling Congress Inc",54
"INTERNATIONAL UNION UNITED AUTO AEROSPACE & AGRICULTURAL WORKERS",54
"MARYLAND CLASSIFIED EMPLOYEES ASSOCIATION INC",54
"NATIONAL ASSOCIATION OF MINIATURE ENTHUSIASTS",54
"COMMITTEE OF MANAGEMENT GRAND UNITED ORDER OF ODD FELLOWS",52
"City of Hope",52
"ORDER OF THE WHITE SHRINE OF JERUSALEM",52
"International Association of Lions Clubs",51
"PTA NORTH CAROLINA CONGRESS",51
"PTA OKLAHOMA CONGRESS",51
"NATIONAL RURAL LETTER CARRIERS ASSOCIATION",50
"RURITAN NATIONAL CORP",50
"ASSOCIATION FOR CHILDHOOD EDUCATION INTERNATIONAL",49
"VICTORY OUTREACH INC",49
"QUESTERS INC",48
"THE OREGON STATE FEDERATION OF GARDEN CLUBS INC",48
"UNITED ORDER OF TENTS OF J R GIDDINGS & JOLLIFEE UNION",48
"COMPASSIONATE FRIENDS INC",47
"HEALTHCARE FINANCIAL MANAGEMENT ASSOCIATION",47
"PTA Kansas Congress of Parents and Teachers",47
"PTA LOUISIANA CONGRESS",47
"PTA North Carolina Congress",47
"VETERANS OF FOREIGN WARS OF THE US DEPT OF MISSOURI LADIES AUXILIARY",47
"ZONTA INTERNATIONAL",47
"NATIONAL ASSOCIATION FOR FAMILY AND COMMUNITY EDUCATION",46
"ORDER OF THE EASTERN STAR OF MICHIGAN",46
"PTA GEORGIA CONGRESS",46
"DAUGHTERS OF ISABELLA",45
"FULL GOSPEL BUSINESSMENS FELLOWSHIP INTERNATIONAL",45
"INTERNATIONAL CHURCH OF THE FOURSQUARE GOSPEL",45
"International Reading Association, Inc.",45
"KAPPA KAPPA GAMMA FRATERNITY INC",45
"LABORERS INTERNATIONAL UNION OF NORTH AMERICA",45
"ORDER OF EASTERN STAR OF NEW YORK",45
"DISABLED AMERICAN VETERANS AUXILIARY INC",44
"PTSA MICHIGAN CONGRESS OF PARENTS TEACHERS AND STUDENTS",44
"Pta Pennsylvania Congress",44
"React International",44
"VALPARAISO UNIVERSITY GUILDS",44
"VIETNAM VETERANS OF AMERICA INC",44
"Womens Aglow Fellowship",44
"FIRST CATHOLIC SLOVAK LADIES ASSOC OF THE USA",43
"ORDER OF THE AMARANTH INC SUPREME COUNCIL",43
"PTA MISSOURI CONGRESS",43
AMVETS,42
"KAPPA KAPPA IOTA",42
"MILITARY ORDER OF THE COOTIE OF THE UNITED STATES SUPREME PUP TENT",42
"PARENTS WITHOUT PARTNERS INC",42
"POINT MAN INTERNATIONAL MINISTRIES",42
"PTA Oklahoma Congress",42
"SALON NATIONAL LABOUTIQUE DES HUIT CHAPEAUX ET QUARANTE FEMMES",42
"TRANSPORTATION-COMMUNICATIONS INTERNATIONAL UNION",42
"UNITED OSTOMY ASSOCIATION",42
"Womens International Bowling Congress Inc",42
"JEWISH WAR VETERANS OF THE UNITED STATES OF AMERICA INC",41
"LEAGUE OF UNITED LATIN AMERICA CITIZENS",41
"LIONS INTERNATIONAL",41
"NATIONAL ASSOCIATION OF PARLIAMENTARIANS",41
"AUXILIARY OF THE UNITED TRANSPORTATION UNION",40
"LOYAL CHRISTIAN BENEFIT ASSOCIATION",40
"OREGON STATE GRANGE PATRONS OF HUSBANDRY",40
"STEPFAMILY ASSOCIATION OF AMERICA INC",40
"Sweet Adelines International",40
"TEEA INC",40
"VETERANS OF FOREIGN WARS DEPT OF KENTUCKY",40
"AMERICAN FEDERATION OF GOVERNMENT EMPLOYEES",39
"CATHOLIC ORDER OF FORESTERS",39
"PTA KENTUCKY CONGRESS",39
"VIRGINIA CONGRESS OF PARENTS AND TEACHERS",39
"FINANCIAL PLANNING ASSOCIATION",38
"GARDEN CLUB OF OHIO INC",38
"LUTHERAN BROTHERHOOD",38
"Missionary Church International, Inc.",38
"NON COMMISSIONED OFFICERS ASSOCIATION OF THE U S OF AMERICA",38
"PACE INTERNATIONAL UNION",38
"UNITED STEELWORKERS",38
"Women's International Bowling Congress",38
"FINANCIAL WOMEN INTERNATIONAL",37
"INTERNATIONAL ASSOCIATION OF ADMINISTRATIVE PROFESSIONALS",37
"INTERNATIONAL UNION SECURITY POLICE FIRE PROFESSIONALS OF AMERICA",37
"MAHARISHI VEDIC EDUCATION DEVELOPMENT CORP",37
"NATIONAL EXCHANGE CLUB",37
"NATIONAL SOCIETY OF THE SONS OF THE AMERICAN REVOLUTION",37
"PAINTING & DECORATING CONTRACTORS OF AMERICA",37
"PTA ALABAMA CONGRESS",37
"UNITED BROTHERHOOD OF CARPENTERS & JOINERS OF AMERICA",37
"United States Pony Clubs, Inc.",37
"VETERANS OF FOREIGN WARS OF THE UNITED STATES DEPT OF FLORIDA",37
"VETERANS OF FOREIGN WARS OF THE UNITED STATES DEPT OF WISCONSIN",37
"VIKINGS USA BOOTHEEL MO",37
"CITY OF HOPE",36
"KAPPA DELTA PI",36
"ORDER OF THE EASTERN STAR OF CALIFORNIA",36
"ORDER OF THE EASTERN STAR OF KANSAS",36
"PHI GAMMA DELTA FRATERNITY",36
"PTA Colorado Congress",36
"PTA Missouri Congress",36
"Point Man International Ministries",36
"United Daughters of the Confederacy",36
"Virginia Congress of Parents and Teachers",36
"Women's International Bowling Congress, Inc.",36
"ASSOCIATION FOR COMPUTING MACHINERY",35
"NATIONAL ORGANIZATION OF MOTHERS OF TWINS CLUBS INC",35
"REACT International",35
"Thrivent Financial for Lutherans",35
"WOODMEN OF THE WORLD LIFE INSURANCE SOCIETY",35
"ASSOCIATION OF INFORMATION TECHNOLOGY PROFESSIONALS",34
"Compassionate Friends, Inc.",34
"DAUGHTERS OF AMERICA",34
"GRAPHIC COMMUNICATIONS INTERNATIONAL UNION",34
"Kappa Kappa Iota",34
"PTA California Congress of Parents, Teachers & Students, Inc.",34
"PTA WISCONSIN CONGRESS",34
"Pop Warner Little Scholars, Inc.",34
"Stepfamily Association of America, Inc.",34
"CONCORDIA MUTUAL LIFE ASSOCIATION",33
"JUVENILE DIABETES FOUNDATION INTERNATIONAL",33
"NATIONAL ASSOCIATION OF LETTER CARRIERS AUXILIARY OF USA",33
"PTA Arkansas Congress",33
"PTA NEW JERSEY CONGRESS OF PARENTS & TEACHERS",33
"SWEET ADELINES INTERNATIONAL",33
"TEXAS GARDEN CLUBS INC",33
"Alzheimer's Disease and Related Disorders Association",32
"INTERNATIONAL LEATHER GOODS PLASTIC & NOVELTY WORKERS UNION",32
"LA SOCIETE DE FEMMES CABANE NATIONAL INC",32
"PTA OREGON CONGRESS",32
"SERTOMA INTERNATIONAL",32
"VETERANS OF FOREIGN WARS OF THE UNITED STATES DEPARTMENT OF OHIO",32
"NATIONAL ACTIVE AND RETIRED FEDERAL EMPLOYEES ASSOCIATION",31
"National Association of Parliamentarians",31
"PTA Mississippi Congress",31
"PTA New Mexico Congress",31
"PTA TENNESSEE CONGRESS OF PARENTS & TEACHERS INC",31
"QUALITY DEER MANAGEMENT ASSOCIATION",31
"SIGMA BETA DELTA INC",31
"TEXAS EXTENSION EDUCATION ASSOCIATION",31
"Washington Parent Group Fund",31
"INTERNATIONAL PUBLISHING MANAGEMENT ASSOCIATION INC",30
"KNIGHTS OF PETER CLAVER",30
"PTA ARIZONA CONGRESS OF PARENTS & TEACHERS INC",30
"WASHINGTON STATE GRANGE",30
"FREE & ACCEPTED MASONS OF INDIANA",29
"ITALIAN CATHOLIC FEDERATION OF CALIFORNIA INC",29
"Intervarsity Christian Fellowship-USA",29
"NATIONAL ORGANIZATION FOR WOMEN INC",29
"ORDER OF THE EASTERN STAR OF OHIO",29
"PTA Alabama Congress",29
"SIGMA GAMMA RHO SORORITY INC",29
"INTERNATIONAL ORDER OF JOBS DAUGHTERS",28
"NATIONAL ASSOCIATION OF INSURANCE WOMEN",28
"NEW JERSEY EDUCATION ASSOCIATION",28
"UNITED FOOD AND COMMERCIAL WORKERS INTERNATIONAL UNION",28
"AMERICAN CRIMINAL JUSTICE ASSOCIATION LAMBDA ALPHA EPSILON",27
"ANCIENT FREE & ACCEPTED MASONS OF ILLINOIS",27
"ASSOCIATION FOR WOMEN IN SCIENCE INC",27
"CROATIAN FRATERNAL UNION OF AMERICA",27
"KNIGHTS OF ST JOHN COMMANDERY",27
"LILY WHITE SECURITY BENEFIT ASSOCIATION",27
"ORDER OF EASTERN STAR OF INDIANA",27
"PEOPLE FOR THE U S A",27
"PTA NEVADA CONGRESS",27
"Quail Unlimited, Inc.",27
"SMOCKING ARTS GUILD OF AMERICA INC",27
"VETERANS OF FOREIGN WARS DEPARTMENT OF CALIFORNIA",27
"BAKERY CONFECTIONERY TOBACCO WORKERS AND GRAIN MILLERS INTL UNI",26
"DELTA KAPPA GAMMA SOCIETY",26
"NATIONAL SLOVAK SOCIETY OF THE USA",26
"National Association of Miniature Enthusiasts",26
"PHI DELTA EPSILON MEDICAL FRATERNITY INC",26
"PTA Arizona Congress",26
"PTA Georgia Congress",26
"PTA KANSAS CONGRESS OF PARENTS AND TEACHERS",26
"SONS OF NORWAY",26
"SUPREME PYTHIAN SISTERS",26
"VETERANS OF FOREIGN WARS DEPT OF MICHIGAN",26
"ALPHA OMEGA INTERNATIONAL DENTAL FRATERNITY INC",25
"Compassionate Friends",25
"GRANGE PATRONS OF HUSBANDRY CALIFORNIA",25
"INTERNATIONAL CESAREAN AWARENESS NETWORK",25
"INTERNATIONAL TRAINING IN COMMUNICATION",25
"KAPPA SIGMA FRATERNITY",25
"MILITARY ORDER OF THE PURPLE HEART OF THE USA",25
"PTA MARYLAND CONGRESS OF PARENTS & TEACHERS INC",25
"People To People International",25
"SONS OF CONFEDERATE VETERANS INC",25
"Society of Manufacturing Engineers",25
"VETERANS OF FOREIGN WARS OF THE UNITED STATES DEPT OF TEXAS",25
"AMERICAN EX-PRISONERS OF WAR",24
"American Institute of Industrial Engineers, Inc.",24
"DELTA THETA TAU SORORITY",24
"NATIONAL ASSOCIATION OF INDEPENDENT FEE APPRAISERS INC",24
"NATIONAL SOCIETY DAUGHTERS OF THE AMERICAN COLONISTS",24
"PTA COLORADO CONGRESS",24
"PTA Oregon Congress",24
"SIGMA PHI ALPHA DENTAL HYGIENE HONOR SOCIETY",24
"UNITED DAUGHTERS OF THE CONFEDERACY",24
"VETERANS OF FOREIGN WARS OF THE UNITED STATES DEPT OF NC",24
"VETERANS OF FOREIGN WARS OF THE US DEPT OF TEXAS LADIES AUXILIARY",24
"BUSINESS MENS FELLOWSHIP USA",23
"Christian Business Men's Committee of USA",23
"FIRST BAPTIST CHURCH",23
"INDIANA CONGRESS OF PARENTS AND TEACHERS INC",23
"INTERNATIONAL BROTHERHOOD OF TEAMSTERS",23
"Lutheran Brotherhood",23
"MASTER WARDENS & MEMBERS OF THE GRAND LODGE OF MASONS IN MASS",23
"PEOPLE TO PEOPLE INTERNATIONAL",23
"SOCIETY OF AMERICAN MILITARY ENGINEERS",23
"AMERICAN ASSOCIATION FOR MEDICAL TRANSCRIPTION",22
"Archdiocesan Senior Citizens Council",22
"BLUE KNIGHTS MOTORCYCLE CLUB",22
"CIRCLE K INTERNATIONAL INC",22
"CITIZENS SCHOLARSHIP FOUNDATION OF AMERICA INC",22
"CREDIT UNIONS CHARTERED IN THE STATE OF MICHIGAN",22
"Church Women United",22
"DEPRESSION AND BIPOLAR SUPPORT ALLIANCE",22
"EDUCATIONAL THEATRE ASSOCIATION",22
"FREE & ACCEPTED MASONS OF MICHIGAN",22
"Grand Chapter of Pennsylvania Order of the Eastern Star, Inc.",22
"INDEPENDENT ORDER OF FORESTERS",22
"LIONS INTERNATIONAL INTERNATIONAL ASSOCIATION OF LIONS",22
"NATIONAL SOCIETY COLONIAL DAMES XVII CENTURY",22
"National Society Daughters of the American Colonists",22
"PENNSYLVANIA B A S S CHAPTER FEDERATION INC",22
"PTA Wisconsin Congress",22
"SOCIETY OF MANUFACTURING ENGINEERS",22
"Service Corps of Retired Executives Association",22
"Trout Unlimited",22
"AIR LINE PILOTS ASSOCIATION INTERNATIONAL",21
"AMERICAN RED MAGEN DAVID FOR ISRAEL",21
"ANCIENT FREE & ACCEPTED MASONS OF MISSOURI",21
"DEGREE OF HONOR PROTECTIVE ASSOCIATION",21
"INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS",21
"INTERNATIONAL UNION OF PAINTERS AND ALLIED TRADES",21
"KIWANIS INTERNATIONAL INC",21
"MOST WORSHIPFUL PRINCE HALL OF VIRGINIA F & A MASONS INC",21
"National Image, Inc.",21
"PTA Louisiana Congress",21
"Questers, The",21
"ROYAL NEIGHBORS OF AMERICA",21
"SERVICE EMPLOYEES INTERNATIONAL UNION",21
"SPECIAL OLYMPICS WISCONSIN INC",21
UNITE,21
"4-H CLUBS & AFFILIATED 4-H ORGANIZATIONS",20
"American Association of Retired Persons",20
"CHILD EVANGELISM FELLOWSHIP INC",20
"FAMILY MOTOR COACH ASSOCIATION",20
"ORDER OF EASTERN STAR OF OKLAHOMA",20
"ORDER OF EASTERN STAR OF TEXAS",20
"ORDER OF THE EASTERN STAR OF ALABAMA",20
"ORDER OF THE EASTERN STAR OF NORTH CAROLINA",20
"POLISH ROMAN CATHOLIC UNION OF AMERICA",20
"PTA Kansas Congress",20
"PTA Texas Congress Parent-Teach Association",20
"SERVICE CORPS OF RETIRED EXECUTIVES ASSOCIATION",20
"Society for Technical Communication",20
"TWIGS OF CHILDRENS HOSPITAL",20
"VASA ORDER OF AMERICA",20
"VETERANS OF FOREIGN WARS DEPARTMENT OF ILLINOIS",20
"AMERICAN VETERANS OF WORLD WAR II",19
"ANCIENT ACCEPTED SCOTTISH RITE OF FREE MASONRY NMJ",19
"Archdiocesan Senior Citizens Council of Philadelphia",19
"BROTHERHOOD OF MAINTENANCE OF WAY EMPLOYEES",19
"CONNECTICUT STATE GRANGE PATRONS OF HUSBANDRY",19
"Child Evangelism Fellowship, Inc.",19
"Children's Hospital & Medical Center",19
"DELTA OMICRON INTERNATIONAL MUSIC FRATERNITY",19
"FULL GOSPEL CHURCHES INTERNATIONAL",19
"FUTURE FARMERS OF AMERICA",19
"Garden Club of Ohio, Inc.",19
"Hadassah the Womens Zionist Organization of America Inc",19
"ILLINOIS CONGRESS OF PARENTS AND TEACHERS",19
"ILLINOIS EDUCATION ASSOCIATION",19
"NALS INC",19
"National Organization of Mothers of Twins Clubs, Inc.",19
"Nebraska Congress of Parents and Teachers",19
"PATRONS OF HUSBANDRY MAINE STATE GRANGE",19
"PTA California Congress of Parents Teachers & Students",19
"PTA Nevada Congress",19
"PTA West Virginia Congress",19
"Smocking Arts Guild of America, Inc.",19
"TROUT UNLIMITED",19
"US Power Squadrons",19
"AMERICAN GI FORUM OF THE U S",18
"AMERICAN MANAGEMENT ASSOCIATION INC",18
"ANCIENT FREE & ACCEPTED MASONS OF IOWA",18
"Association for Childhood Education International",18
"INTERNATIONAL ASSOCIATION OF FIRE FIGHTERS LADIES AUXILIARY",18
"KENTUCKY MULTI-COUNTY TASK FORCES ON CHILD ABUSE & EXPLOITATION",18
"Light of Christ Community Church",18
"MASSACHUSETTS STATE GRANGE PATRONS OF HUSBANDRY INC",18
"MIRACLE MAKERS INC",18
"Maharishi Vedic Education Development Corp.",18
"Montana Congress of Parents Teachers Students",18
"NATIONAL IMAGE INC",18
"NAVAL RESERVE ASSOCIATION INC",18
"ORDER OF THE EASTERN STAR OF IOWA",18
"PI BETA PHI FRATERNITY",18
"PI KAPPA ALPHA FRATERNITY",18
"Phi Theta Kappa Fraternity",18
"SERRA INTERNATIONAL",18
"TEXAS GARDEN CLUBS",18
"VERMONT STATE GRANGE PATRONS OF HUSBANDRY",18
"ANCIENT FREE & ACCEPTED MASONS OF KANSAS",17
"BENEVOLENT PATRIOTIC ORDER OF DOES OF THE UNITED STATES OF AMERICA",17
"Christian Business Men's Committee of US",17
"FREE & ACCEPTED MASONS OF CALIFORNIA",17
"INTERNATIONAL UNION OF BRICKLAYERS AND ALLIED CRAFTWORKERS",17
"Juvenile Diabetes Foundation International",17
"LEAGUE OF UNITED LATIN AMERICANCITIZENS",17
"NATIONAL AMBUCS INC",17
"NATIONAL ASSOCIATION OF LETTER CARRIERS OF THE US OF AMERICA",17
"NATIONAL ASSOCIATION OF RETIRED FEDERAL EMPLOYEES",17
"NATIONAL MANAGEMENT ASSOC",17
"North Dakota Congress of Parents and Teachers",17
"ORDER OF THE EASTERN STAR OF ILLINOIS GRAND CHAPTER",17
"PENNSYLVANIA ORDER OF THE EASTERN STAR INC",17
"PHI BETA PSI SORORITY",17
"RETIRED ENLISTED ASSOCIATION",17
"Road Runners Club of America",17
"SOCIETY FOR PRESERVATION & ENCOURMT OF BARBERSHOP QUARTET SINGING AMER",17
"SUPREME TEMPLE PYTHIAN SISTERS",17
"UNITED ORDER OF TENTS OF J R GIDDINGS AND JOLLIFEE UNION",17
"United Ostomy Association",17
"Valparaiso University Guild, Inc.",17
"WOMENS WELSH CLUBS OF AMERICA",17
"YOUTH FOR CHRIST USA INC",17
"AIR FORCE SERGEANTS ASSOCIATION",16
"AMERICAN ACADEMY OF FAMILY PHYSICIANS",16
"AMERICAN POSTAL WORKERS ACCIDENT BENEFIT ASSOCIATION",16
"Amateur Athletic Union of the United States",16
"American Society of Women Accountants Scholarship Fund",16
"Association for Quality & Participation",16
"BROTHERHOOD OF LOCOMOTIVE ENGINEERS AND TRAINMEN",16
"COALITION OF LABOR UNION WOMEN",16
"COLORADO ASSOCIATION OF PUBLIC EMPLOYEES",16
"FIRST CATHOLIC SLOVAK UNION OF THE USA",16
"GRAND COURT ORDER OF CALANTHE OF TEXAS",16
"INDEPENDENT TELEPHONE PIONEER ASSOCIATION",16
"Institute of Management Accountants, Inc.",16
"International Society for Hybrid Microelectronics",16
"LUTHERAN FRATERNITIES OF AMERICA",16
"MASSACHUSETTS TEACHERS ASSOCIATION",16
"NATIONAL ASSOCIATION FOR THE ADVANCEMENT OF COLORED PEOPLE",16
"OKLAHOMA GARDEN CLUBS",16
"ORDER OF THE EASTERN STAR OF ARKANSAS",16
"ORDER OF THE EASTERN STAR OF GEORGIA PRINCE HALL",16
"ORDER OF THE EASTERN STAR OF MISSISSIPPI",16
"Order of Eastern Star Prince Hall Harmony",16
"PI TAU SIGMA",16
"PTA ARKANSAS CONGRESS",16
"PTA MASSACHUSETTS PARENT-TEACHER ASSOCIATION INC",16
"Society for the Preservation & Encouragement of Barbershop Quartet Singing in America",16
"TOASTMASTER INTERNATIONAL",16
"UNITED STATES POWER SQUADRONS",16
"UNITED TRANSPORTATION UNION",16
"VETERANS OF THE VIETNAM WAR INC",16
"Victory Outreach Inc",16
"WAVES NATIONAL",16
"ZETA TAU ALPHA FRATERNITY",16
"AMERICAN DENTAL ASSISTANTS ASSOCIATION",15
"AUTISM SOCIETY OF AMERICA",15
"CPI-CREDIT PROFESSIONALS INTERNATIONAL",15
"INTERNATIONAL MC CLASS SAILBOAT RACING ASSOCIATION",15
"KNIGHTS OF PYTHIAS NEW YORK",15
"Literacy Volunteers of America, Inc.",15
"NETWARE USERS INTERNATIONAL NORTH AMERICA INC",15
"National Ambucs, Inc.",15
"New Hampshire Congress Of Parents And Teachers",15
"ORDER OF THE ALHAMBRA",15
"ORDER OF THE EASTERN STAR OF KENTUCKY",15
"ORDER OF THE EASTERN STAR OF NEBRASKA",15
"PHI THETA KAPPA",15
"PHI THETA KAPPA FRATERNITY",15
"PTA CALIFORNIA CONGRESS OF PARENTS TEACHERS AND STUDENTS INC",15
"PTA Iowa Congress",15
"Questers, Inc.",15
"RUSH UNIVERSITY MEDICAL CENTER",15
"SEMINARY COVENANT COMMUNITY",15
"VETERANS OF FOREIGN WARS DEPT OF MISSOURI",15
"VETERANS OF FOREIGN WARS OF THE UNITED STATES DEPT OF COLORADO",15
"VOITURE NATIONALE LA SOCIETE DES 40 HOMMES ET 8 CHEVAUX",15
"WILLIAM PENN ASSOCIATION",15
"ALTRUSA INTERNATIONAL INC",14
"AMERICAN OSTEOPATHIC ASSOCIATION AUXILIARY",14
"BEGINNING EXPERIENCE INTERNATIONAL MINISTRY CENTER",14
"Embroiderers Guild of America, Inc.",14
"FREE & ACCEPTED MASONS OF PENNSYLVANIA",14
"GLEANER LIFE INSURANCE SOCIETY",14
"IDAHO STATE GRANGE",14
"INROADS INC",14
"INTERNATIONAL ASSOCIATION OF LIONS CLUB",14
"INTERNATIONAL CREDIT ASSOCIATION",14
"LABOR AND EMPLOYMENT RELATIONS ASSOCIATION",14
"NATIONAL ASSOCIATION OF ORTHOPAEDIC NURSES INC",14
"NATIONAL KAPPA KAPPA IOTA INC",14
"NATIONAL TECHNICAL SERVICES ASSOCIATION INC",14
"NATIONAL TTT SOCIETY",14
"ORDER OF THE EASTERN STAR OF MINNESOTA",14
"Optimist International",14
"PILOT CLUB INTERNATIONAL",14
"PTA Arizona Congress of Parents & Teachers, Inc.",14
"PTA IDAHO CONGRESS",14
"PTA Idaho Congress",14
"PTA New Jersey Congress of Parents & Teachers",14
"PTSA MICHIGAN CONGRESS",14
"REFRIGERATION SERVICE ENGINEERS SOCIETY",14
"RESOLVE INCORPORATED",14
"Rotary International",14
"SAFARI CLUB INTERNATIONAL FOUNDATION",14
"SERTOMA INTERNATIONAL SPONSORSHIP FUND",14
"SHEET METAL WORKERS INTERNATIONAL ASSOCIATION",14
"SIGMA KAPPA SORORITY",14
"SPORTSMANS NETWORK INC",14
"Sons of the American Revolution",14
"UNITED STATES PONY CLUBS INC",14
"US-CHINA PEOPLES FRIENDSHIP ASSOCIATION",14
"VETERANS OF FOREIGN WARS OF THE UNITED STATES DEPT OF LOUISIANA",14
"VETERANS OF FOREIGN WARS OF THE US DEPT OF FLORIDA LADIES AUXILIARY",14
"VETERANS OF FOREIGN WARS OF THE US DEPT OF MICHIGAN LADIES AUXILIARY",14
"Womens International Bowling Congress",14
"ALPHA KAPPA PSI-INDIANA INC",13
"AMERICAN INNS OF COURT FOUNDATION",13
"ANCIENT FREE & ACCEPTED MASONS OF COLORADO",13
"AUTISM SOCIETY OF AMERICA INC",13
"CALIFORNIA HIGHWAY PATROL EXPLORER PROGRAM",13
"CATHOLIC WAR VETERANS OF THE UNITED STATES OF AMERICA INC",13
"CHILDRENS TUMOR FOUNDATION",13
"Christian Business Men's Committee of Us",13
"Civitan International",13
"Delta Sigma Rho-Tau Kappa Alpha National Honorary Forensic Society",13
